Région,Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
Grand Est,230664.0,15.92,11.06,20.79
Pays de la Loire,131040.0,15.5,13.05,17.95
Bretagne,105438.0,14.4,12.75,16.05
Nouvelle-Aquitaine,209450.0,15.14,13.16,17.13
Occitanie,175029.0,14.47,11.9,17.04
Auvergne-Rhône-Alpes,334020.0,14.02,10.93,17.12
Provence-Alpes-Côte d'Azur,182102.0,16.74,12.98,20.5
Île-de-France,335093.0,20.71,13.72,27.7
Centre-Val de Loire,89112.0,20.32,13.0,27.65
Bourgogne-Franche-Comté,107149.0,20.79,14.25,27.33
Normandie,132513.0,18.41,11.36,25.46
Hauts-de-France,256021.0,18.37,11.44,25.3
Grand Est,235774.0,19.84,12.36,27.31
Pays de la Loire,132198.0,21.58,14.75,28.4
Bretagne,103455.0,17.95,10.75,25.15
Nouvelle-Aquitaine,207412.0,21.0,14.26,27.74
Occitanie,174001.0,20.88,14.74,27.03
Auvergne-Rhône-Alpes,324343.0,19.58,12.94,26.23
Provence-Alpes-Côte d'Azur,199448.0,20.71,15.25,26.17
Île-de-France,329978.0,18.45,15.6,21.3
Centre-Val de Loire,83820.0,17.82,15.03,20.62
Bourgogne-Franche-Comté,106486.0,17.79,13.17,22.42
Normandie,125372.0,16.54,13.82,19.26
Hauts-de-France,249536.0,16.48,13.98,18.98
Grand Est,232843.0,18.57,14.6,22.54
Pays de la Loire,129662.0,18.75,15.2,22.3
Bretagne,102158.0,17.27,14.18,20.38
Nouvelle-Aquitaine,198633.0,18.99,14.56,23.42
Occitanie,171071.0,19.73,13.43,26.03
Auvergne-Rhône-Alpes,325357.0,17.9,11.86,23.95
Provence-Alpes-Côte d'Azur,187377.0,19.48,13.55,25.42
Île-de-France,289418.0,20.58,12.9,28.26
Centre-Val de Loire,70988.0,20.15,10.58,29.72
Bourgogne-Franche-Comté,87433.0,19.96,11.2,28.72
Normandie,115013.0,19.03,10.18,27.88
Hauts-de-France,220717.0,18.92,10.66,27.18
Grand Est,196901.0,19.11,10.05,28.16
Pays de la Loire,103381.0,21.48,12.25,30.7
Bretagne,88862.0,18.92,10.48,27.38
Nouvelle-Aquitaine,184889.0,22.14,13.28,31.01
Occitanie,150704.0,20.22,12.49,27.95
Auvergne-Rhône-Alpes,270670.0,19.65,10.46,28.85
Provence-Alpes-Côte d'Azur,176868.0,18.8,11.97,25.63
Île-de-France,266807.0,19.46,12.52,26.4
Centre-Val de Loire,71118.0,18.7,10.18,27.22
Bourgogne-Franche-Comté,76687.0,18.06,9.2,26.92
Normandie,101417.0,17.07,10.02,24.12
Hauts-de-France,196513.0,18.4,10.76,26.04
Grand Est,172129.0,17.36,8.11,26.61
Pays de la Loire,98886.0,20.92,14.05,27.8
Bretagne,80044.0,18.14,11.45,24.82
Nouvelle-Aquitaine,171235.0,21.19,14.96,27.42
Occitanie,145340.0,20.01,15.0,25.03
Auvergne-Rhône-Alpes,251240.0,18.41,10.86,25.96
Provence-Alpes-Côte d'Azur,163479.0,18.63,12.68,24.58
Île-de-France,312123.0,19.39,11.48,27.3
Centre-Val de Loire,80795.0,19.19,10.03,28.35
Bourgogne-Franche-Comté,104706.0,18.47,9.92,27.02
Normandie,125839.0,17.95,10.48,25.42
Hauts-de-France,235598.0,17.99,10.68,25.3
Grand Est,218081.0,16.62,7.21,26.02
Pays de la Loire,124267.0,21.6,13.85,29.35
Bretagne,103956.0,19.35,12.15,26.55
Nouvelle-Aquitaine,186076.0,21.68,16.55,26.81
Occitanie,164041.0,19.44,15.3,23.58
Auvergne-Rhône-Alpes,315383.0,18.66,11.6,25.73
Provence-Alpes-Côte d'Azur,187841.0,18.12,12.13,24.12
Île-de-France,328501.0,19.23,16.36,22.1
Centre-Val de Loire,80894.0,19.02,15.12,22.92
Bourgogne-Franche-Comté,105663.0,20.89,15.02,26.77
Normandie,136781.0,17.34,14.42,20.26
Hauts-de-France,250730.0,17.32,14.68,19.96
Grand Est,228226.0,20.24,15.24,25.23
Pays de la Loire,127976.0,19.33,16.8,21.85
Bretagne,102287.0,16.9,14.82,18.98
Nouvelle-Aquitaine,204093.0,19.18,15.08,23.29
Occitanie,182352.0,22.27,15.97,28.56
Auvergne-Rhône-Alpes,328631.0,22.07,14.77,29.37
Provence-Alpes-Côte d'Azur,210653.0,23.96,18.22,29.7
Île-de-France,286603.0,17.3,13.82,20.78
Centre-Val de Loire,74873.0,15.77,12.95,18.58
Bourgogne-Franche-Comté,90999.0,14.79,12.83,16.75
Normandie,119052.0,16.04,13.06,19.02
Hauts-de-France,224272.0,17.66,13.76,21.56
Grand Est,201603.0,15.25,13.0,17.5
Pays de la Loire,104926.0,16.65,13.35,19.95
Bretagne,85364.0,16.36,12.78,19.95
Nouvelle-Aquitaine,180209.0,15.54,12.74,18.33
Occitanie,155288.0,16.79,12.85,20.72
Auvergne-Rhône-Alpes,284461.0,15.22,12.1,18.34
Provence-Alpes-Côte d'Azur,190382.0,18.77,13.83,23.7
Île-de-France,295406.0,26.03,19.46,32.6
Centre-Val de Loire,77811.0,25.7,18.43,32.97
Bourgogne-Franche-Comté,85545.0,25.42,17.27,33.57
Normandie,110647.0,22.98,17.24,28.72
Hauts-de-France,207580.0,24.83,18.06,31.6
Grand Est,187019.0,23.22,16.06,30.39
Pays de la Loire,102599.0,26.67,20.7,32.65
Bretagne,78875.0,23.04,18.12,27.95
Nouvelle-Aquitaine,182794.0,25.46,19.63,31.3
Occitanie,163267.0,24.34,17.45,31.23
Auvergne-Rhône-Alpes,283096.0,24.93,16.43,33.43
Provence-Alpes-Côte d'Azur,181880.0,24.54,17.68,31.4
Île-de-France,326259.0,20.13,15.68,24.58
Centre-Val de Loire,87055.0,21.7,16.88,26.52
Bourgogne-Franche-Comté,106614.0,24.77,19.48,30.05
Normandie,124545.0,16.48,11.86,21.1
Hauts-de-France,236324.0,17.63,13.18,22.08
Grand Est,226101.0,22.72,17.59,27.85
Pays de la Loire,126336.0,20.67,15.8,25.55
Bretagne,99740.0,16.38,12.55,20.2
Nouvelle-Aquitaine,206911.0,21.84,18.17,25.51
Occitanie,198007.0,23.83,20.13,27.54
Auvergne-Rhône-Alpes,336272.0,25.88,18.34,33.42
Provence-Alpes-Côte d'Azur,229738.0,26.92,20.65,33.2
Île-de-France,305212.0,20.61,17.54,23.68
Centre-Val de Loire,88857.0,19.81,14.78,24.83
Bourgogne-Franche-Comté,95615.0,21.1,13.73,28.47
Normandie,123618.0,18.76,15.64,21.88
Hauts-de-France,235881.0,18.02,15.68,20.36
Grand Est,219094.0,20.53,13.74,27.32
Pays de la Loire,128754.0,20.3,17.75,22.85
Bretagne,104629.0,17.38,14.85,19.9
Nouvelle-Aquitaine,201623.0,19.79,16.19,23.39
Occitanie,182144.0,22.82,18.07,27.57
Auvergne-Rhône-Alpes,318460.0,22.6,15.15,30.05
Provence-Alpes-Côte d'Azur,198588.0,24.03,18.58,29.48
Île-de-France,304715.0,17.97,12.76,23.18
Centre-Val de Loire,80665.0,17.9,10.72,25.08
Bourgogne-Franche-Comté,99633.0,18.45,13.07,23.83
Normandie,127288.0,16.65,10.42,22.88
Hauts-de-France,242547.0,16.52,12.6,20.44
Grand Est,223369.0,16.86,12.77,20.94
Pays de la Loire,126555.0,19.75,13.15,26.35
Bretagne,107493.0,17.42,12.78,22.08
Nouvelle-Aquitaine,201856.0,19.38,13.29,25.48
Occitanie,174540.0,20.67,13.21,28.14
Auvergne-Rhône-Alpes,314552.0,18.43,12.28,24.58
Provence-Alpes-Côte d'Azur,205692.0,22.14,16.0,28.28
Île-de-France,291308.0,18.72,13.16,24.28
Centre-Val de Loire,77259.0,18.42,11.57,25.28
Bourgogne-Franche-Comté,89642.0,19.2,12.28,26.12
Normandie,119909.0,15.28,9.42,21.14
