Région,Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
Bretagne,103057.0,21.0,14.28,27.72
Nouvelle-Aquitaine,209262.0,22.92,15.58,30.25
Occitanie,180782.0,22.88,15.23,30.54
Auvergne-Rhône-Alpes,333193.0,19.83,12.04,27.62
Provence-Alpes-Côte d'Azur,194441.0,22.84,17.47,28.22
Île-de-France,363655.0,26.77,20.14,33.4
Centre-Val de Loire,95660.0,27.43,19.17,35.7
Bourgogne-Franche-Comté,110925.0,27.43,17.85,37.02
Normandie,132534.0,21.77,16.1,27.44
Hauts-de-France,244146.0,20.63,16.0,25.26
Grand Est,240576.0,27.13,18.5,35.75
Pays de la Loire,136748.0,27.98,19.7,36.25
Bretagne,106605.0,21.16,15.38,26.95
Nouvelle-Aquitaine,220799.0,27.5,18.99,36.01
Occitanie,194665.0,27.09,18.95,35.23
Auvergne-Rhône-Alpes,346763.0,27.01,17.48,36.55
Provence-Alpes-Côte d'Azur,222310.0,28.06,20.27,35.85
Île-de-France,321815.0,25.71,20.2,31.22
Centre-Val de Loire,88280.0,24.7,19.12,30.28
Bourgogne-Franche-Comté,92865.0,23.4,18.18,28.62
Normandie,122942.0,21.69,17.12,26.26
Hauts-de-France,235941.0,22.55,17.2,27.9
Grand Est,222238.0,22.42,15.91,28.92
Pays de la Loire,124686.0,20.9,18.2,23.6
Bretagne,102669.0,17.67,15.35,20.0
Nouvelle-Aquitaine,192952.0,21.48,17.75,25.2
Occitanie,178281.0,23.5,18.05,28.96
Auvergne-Rhône-Alpes,307687.0,23.57,17.41,29.73
Provence-Alpes-Côte d'Azur,191372.0,22.61,16.17,29.05
Île-de-France,280055.0,18.56,15.02,22.1
Centre-Val de Loire,67360.0,19.24,13.98,24.5
Bourgogne-Franche-Comté,86429.0,18.26,10.75,25.77
Normandie,114309.0,16.29,12.38,20.2
Hauts-de-France,215183.0,17.51,14.1,20.92
Grand Est,191289.0,18.54,12.35,24.74
Pays de la Loire,100558.0,16.75,13.75,19.75
Bretagne,91685.0,13.24,10.22,16.25
Nouvelle-Aquitaine,171397.0,19.78,13.38,26.19
Occitanie,158554.0,21.55,13.89,29.21
Auvergne-Rhône-Alpes,268319.0,18.41,9.85,26.97
Provence-Alpes-Côte d'Azur,190091.0,21.41,14.02,28.8
Île-de-France,316386.0,19.2,14.14,24.26
Centre-Val de Loire,86947.0,20.35,14.6,26.1
Bourgogne-Franche-Comté,101243.0,22.16,16.55,27.77
Normandie,128843.0,16.0,11.08,20.92
Hauts-de-France,235919.0,16.95,12.62,21.28
Grand Est,218339.0,21.16,15.79,26.54
Pays de la Loire,127635.0,20.27,14.55,26.0
Bretagne,100119.0,16.42,12.2,20.65
Nouvelle-Aquitaine,217723.0,22.39,16.69,28.09
Occitanie,191062.0,24.63,18.83,30.44
Auvergne-Rhône-Alpes,329604.0,22.2,15.63,28.76
Provence-Alpes-Côte d'Azur,217146.0,26.42,20.9,31.95
Île-de-France,307623.0,17.49,11.3,23.68
Centre-Val de Loire,84470.0,16.89,11.87,21.92
Bourgogne-Franche-Comté,102902.0,18.04,11.85,24.23
Normandie,131321.0,16.01,10.74,21.28
Hauts-de-France,242739.0,17.41,11.36,23.46
Grand Est,224532.0,18.12,12.46,23.79
Pays de la Loire,130003.0,18.4,14.45,22.35
Bretagne,104530.0,18.3,16.27,20.32
Nouvelle-Aquitaine,213052.0,18.34,14.44,22.23
Occitanie,180016.0,20.69,15.55,25.83
Auvergne-Rhône-Alpes,324649.0,18.32,12.89,23.75
Provence-Alpes-Côte d'Azur,211230.0,23.18,17.48,28.88
Île-de-France,340892.0,27.99,20.26,35.72
Centre-Val de Loire,95526.0,26.41,17.35,35.47
Bourgogne-Franche-Comté,103931.0,26.48,17.32,35.63
Normandie,128839.0,24.7,15.7,33.7
Hauts-de-France,249963.0,26.87,18.74,35.0
Grand Est,237796.0,26.21,16.88,35.55
Pays de la Loire,136158.0,25.12,17.65,32.6
Bretagne,102704.0,20.65,14.0,27.3
Nouvelle-Aquitaine,228784.0,25.38,18.3,32.46
Occitanie,206606.0,26.5,18.83,34.16
Auvergne-Rhône-Alpes,345111.0,24.95,16.45,33.46
Provence-Alpes-Côte d'Azur,217203.0,26.06,19.52,32.6
Île-de-France,333835.0,25.9,21.4,30.4
Centre-Val de Loire,91255.0,24.09,20.12,28.07
Bourgogne-Franche-Comté,106723.0,28.37,22.2,34.53
Normandie,125995.0,21.22,18.16,24.28
Hauts-de-France,235783.0,23.86,20.84,26.88
Grand Est,231020.0,27.68,20.85,34.51
Pays de la Loire,129470.0,20.25,19.25,21.25
Bretagne,105060.0,20.44,17.82,23.05
Nouvelle-Aquitaine,211980.0,21.19,18.85,23.53
Occitanie,200604.0,24.04,20.7,27.37
Auvergne-Rhône-Alpes,332922.0,26.25,18.79,33.71
Provence-Alpes-Côte d'Azur,224470.0,26.78,20.1,33.47
Île-de-France,251267.0,20.76,15.84,25.68
Centre-Val de Loire,69886.0,21.56,16.7,26.42
Bourgogne-Franche-Comté,78248.0,22.77,18.5,27.03
Normandie,99976.0,19.0,14.7,23.3
Hauts-de-France,195160.0,18.59,15.1,22.08
Grand Est,177247.0,22.13,17.65,26.61
Pays de la Loire,97822.0,20.1,14.7,25.5
Bretagne,80610.0,17.35,12.7,22.0
Nouvelle-Aquitaine,187749.0,22.14,17.47,26.8
Occitanie,169661.0,23.33,17.15,29.52
Auvergne-Rhône-Alpes,255918.0,23.1,16.83,29.36
Provence-Alpes-Côte d'Azur,188259.0,24.71,17.55,31.87
Île-de-France,281311.0,20.13,15.7,24.56
Centre-Val de Loire,86309.0,20.19,15.5,24.88
Bourgogne-Franche-Comté,95454.0,20.54,15.88,25.2
Normandie,117759.0,18.93,15.12,22.74
Hauts-de-France,227013.0,18.46,15.86,21.06
Grand Est,200962.0,19.81,15.14,24.48
Pays de la Loire,120429.0,20.15,15.8,24.5
Bretagne,101543.0,18.4,14.22,22.58
Nouvelle-Aquitaine,203585.0,19.96,15.3,24.63
Occitanie,186542.0,22.13,17.32,26.95
Auvergne-Rhône-Alpes,304399.0,20.65,15.37,25.92
Provence-Alpes-Côte d'Azur,217671.0,24.78,18.97,30.6
Île-de-France,331869.0,27.02,20.06,33.98
Centre-Val de Loire,86879.0,26.44,17.62,35.27
Bourgogne-Franche-Comté,109212.0,25.36,16.02,34.7
Normandie,130267.0,21.56,16.82,26.3
Hauts-de-France,238932.0,23.26,17.6,28.92
Grand Est,228972.0,26.12,16.9,35.34
Pays de la Loire,132087.0,26.3,19.1,33.5
Bretagne,101432.0,19.92,15.05,24.8
Nouvelle-Aquitaine,220925.0,25.74,19.87,31.62
Occitanie,190067.0,24.49,16.61,32.36
Auvergne-Rhône-Alpes,320300.0,25.32,16.46,34.17
Provence-Alpes-Côte d'Azur,209707.0,25.43,18.78,32.08
Île-de-France,273922.0,22.28,16.54,28.02
Centre-Val de Loire,75513.0,22.37,14.45,30.28
Bourgogne-Franche-Comté,88710.0,24.26,16.12,32.4
Normandie,115290.0,19.71,13.98,25.44
Hauts-de-France,218622.0,21.09,16.24,25.94
Grand Est,191051.0,23.26,16.4,30.12
Pays de la Loire,106976.0,21.58,13.8,29.35
Bretagne,86892.0,18.65,12.65,24.65
Nouvelle-Aquitaine,194733.0,24.16,16.63,31.68
Occitanie,174763.0,25.14,18.95,31.34
Auvergne-Rhône-Alpes,282829.0,24.99,16.85,33.12
Provence-Alpes-Côte d'Azur,196450.0,24.67,18.25,31.1
Île-de-France,249206.0,15.47,7.54,23.4
Centre-Val de Loire,68153.0,15.35,5.7,25.0
Bourgogne-Franche-Comté,79308.0,13.92,5.5,22.35
Normandie,107781.0,14.06,6.46,21.66
Hauts-de-France,200208.0,13.64,7.8,19.48
Grand Est,175615.0,13.38,4.85,21.91
Pays de la Loire,96463.0,16.15,7.65,24.65
Bretagne,78599.0,14.1,8.3,19.9
Nouvelle-Aquitaine,176170.0,17.98,10.72,25.24
Occitanie,151029.0,19.31,12.55,26.08
Auvergne-Rhône-Alpes,255623.0,15.35,8.31,22.39
Provence-Alpes-Côte d'Azur,173026.0,20.16,14.98,25.33
Île-de-France,300771.0,24.58,16.36,32.8
Centre-Val de Loire,93651.0,24.86,15.13,34.58
Bourgogne-Franche-Comté,97258.0,22.58,13.03,32.13
Normandie,122973.0,21.77,14.2,29.34
Hauts-de-France,233085.0,23.29,15.26,31.32
Grand Est,212593.0,22.99,13.5,32.48
Pays de la Loire,125593.0,25.35,16.15,34.55
Bretagne,101084.0,19.77,14.55,25.0
Nouvelle-Aquitaine,206174.0,24.67,17.1,32.24
Occitanie,185066.0,24.4,17.14,31.65
Auvergne-Rhône-Alpes,302072.0,22.65,13.63,31.66
Provence-Alpes-Côte d'Azur,209635.0,25.33,18.25,32.42
Île-de-France,293049.0,20.11,15.72,24.5
Centre-Val de Loire,85105.0,20.62,16.15,25.1
Bourgogne-Franche-Comté,102218.0,22.33,18.37,26.3
Normandie,121381.0,18.6,15.16,22.04
Hauts-de-France,233196.0,18.98,16.42,21.54
Grand Est,212434.0,21.23,17.01,25.45
Pays de la Loire,124821.0,19.7,15.1,24.3
Bretagne,104604.0,17.3,13.18,21.42
Nouvelle-Aquitaine,207483.0,21.86,17.45,26.27
Occitanie,187664.0,24.2,18.17,30.22
Auvergne-Rhône-Alpes,302321.0,22.61,16.71,28.51
Provence-Alpes-Côte d'Azur,204136.0,24.52,16.52,32.53
Île-de-France,273281.0,17.12,12.54,21.7
Centre-Val de Loire,85112.0,17.23,11.52,22.93
Bourgogne-Franche-Comté,98461.0,16.88,10.63,23.12
Normandie,123039.0,15.4,12.04,18.76
Hauts-de-France,229997.0,15.89,12.74,19.04
Grand Est,205999.0,15.72,10.76,20.67
Pays de la Loire,121125.0,18.27,13.6,22.95
Bretagne,103142.0,16.62,12.4,20.85
Nouvelle-Aquitaine,209285.0,20.8,13.76,27.85
Occitanie,183395.0,22.57,14.85,30.29
Auvergne-Rhône-Alpes,299515.0,18.35,11.75,24.96
Provence-Alpes-Côte d'Azur,203926.0,22.44,16.17,28.72
Île-de-France,331726.0,14.71,9.14,20.28
Centre-Val de Loire,83069.0,14.38,7.03,21.73
Bourgogne-Franche-Comté,104056.0,15.47,11.13,19.8
Normandie,133862.0,14.46,8.64,20.28
Hauts-de-France,248385.0,13.57,8.36,18.78
Grand Est,225306.0,14.67,9.94,19.4
Pays de la Loire,126279.0,15.15,8.4,21.9
Bretagne,100060.0,14.95,10.12,19.77
Nouvelle-Aquitaine,200387.0,16.84,10.67,23.01
Occitanie,168881.0,18.37,12.57,24.17
Auvergne-Rhône-Alpes,316116.0,15.56,11.51,19.61
Provence-Alpes-Côte d'Azur,190110.0,19.93,14.58,25.28
Île-de-France,345130.0,17.76,14.72,20.8
Centre-Val de Loire,86594.0,16.15,12.17,20.13
Bourgogne-Franche-Comté,113282.0,15.58,12.2,18.97
Normandie,139118.0,16.95,13.6,20.3
Hauts-de-France,263616.0,16.86,12.4,21.32
Grand Est,241789.0,14.28,9.11,19.44
Pays de la Loire,133856.0,17.12,13.7,20.55
Bretagne,109555.0,14.64,10.48,18.8
Nouvelle-Aquitaine,211137.0,16.76,12.47,21.04
Occitanie,175716.0,17.25,12.25,22.25
Auvergne-Rhône-Alpes,338053.0,16.23,11.74,20.73
Provence-Alpes-Côte d'Azur,194323.0,18.36,13.38,23.33
Île-de-France,347965.0,13.32,5.46,21.18
Centre-Val de Loire,90271.0,13.65,3.95,23.35
Bourgogne-Franche-Comté,107639.0,13.29,2.98,23.6
Normandie,143804.0,12.52,4.42,20.62
Hauts-de-France,266815.0,12.06,5.02,19.1
Grand Est,246257.0,11.42,1.72,21.11
Pays de la Loire,133691.0,15.75,7.6,23.9
Bretagne,106654.0,13.38,5.08,21.68
Nouvelle-Aquitaine,205226.0,17.94,8.41,27.48
Occitanie,174414.0,18.25,11.69,24.82
Auvergne-Rhône-Alpes,330702.0,15.55,5.82,25.28
Provence-Alpes-Côte d'Azur,180774.0,18.79,12.98,24.6
Île-de-France,328211.0,18.21,15.62,20.8
Centre-Val de Loire,84765.0,18.7,15.68,21.72
Bourgogne-Franche-Comté,105527.0,17.68,14.6,20.77
Normandie,131520.0,17.0,15.02,18.98
Hauts-de-France,253408.0,17.07,14.62,19.52
Grand Est,233799.0,16.91,14.09,19.73
Pays de la Loire,133163.0,18.2,16.3,20.1
Bretagne,107397.0,16.76,15.4,18.12
Nouvelle-Aquitaine,198976.0,18.98,15.59,22.37
Occitanie,175106.0,20.14,15.32,24.95
Auvergne-Rhône-Alpes,322431.0,18.73,14.15,23.31
Provence-Alpes-Côte d'Azur,193181.0,20.89,15.4,26.38
Île-de-France,284573.0,11.7,8.08,15.32
Centre-Val de Loire,89568.0,11.2,7.07,15.33
Bourgogne-Franche-Comté,92521.0,10.28,7.15,13.42
Normandie,119048.0,11.15,8.42,13.88
Hauts-de-France,243164.0,10.82,8.88,12.76
Grand Est,212053.0,9.36,7.77,10.95
Pays de la Loire,110210.0,12.5,8.8,16.2
Bretagne,96087.0,11.8,8.23,15.37
Nouvelle-Aquitaine,191388.0,11.92,9.25,14.58
Occitanie,164402.0,12.08,8.67,15.49
Auvergne-Rhône-Alpes,281269.0,9.34,6.24,12.45
Provence-Alpes-Côte d'Azur,176755.0,13.77,9.63,17.9
Île-de-France,271313.0,18.36,14.78,21.94
Centre-Val de Loire,67394.0,18.62,14.38,22.85
Bourgogne-Franche-Comté,83492.0,18.33,14.12,22.55
Normandie,109275.0,18.15,14.44,21.86
Hauts-de-France,213477.0,17.97,14.14,21.8
Grand Est,183568.0,17.78,13.28,22.28
Pays de la Loire,93246.0,19.77,15.75,23.8
Bretagne,85024.0,18.05,14.88,21.22
Nouvelle-Aquitaine,169236.0,19.27,15.36,23.18
Occitanie,143441.0,19.93,15.32,24.54
Auvergne-Rhône-Alpes,260508.0,18.04,13.63,22.45
Provence-Alpes-Côte d'Azur,172933.0,19.79,16.32,23.27
Île-de-France,405449.0,11.36,9.5,13.22
Centre-Val de Loire,102002.0,12.04,9.92,14.17
Bourgogne-Franche-Comté,125613.0,12.29,10.65,13.93
Normandie,160050.0,11.3,8.84,13.76
Hauts-de-France,303576.0,9.17,5.14,13.2
Grand Est,263850.0,11.24,7.9,14.57
Pays de la Loire,162869.0,10.85,7.3,14.4
Bretagne,131726.0,11.21,6.68,15.75
Nouvelle-Aquitaine,234650.0,15.38,12.7,18.06
Occitanie,186583.0,17.3,13.81,20.78
Auvergne-Rhône-Alpes,366718.0,13.56,11.84,15.28
Provence-Alpes-Côte d'Azur,206005.0,16.49,13.25,19.73
Île-de-France,370229.0,12.6,10.2,15.0
Centre-Val de Loire,93469.0,15.69,8.62,22.77
Bourgogne-Franche-Comté,118455.0,14.34,7.38,21.3
Normandie,149977.0,12.98,8.82,17.14
Hauts-de-France,277617.0,13.88,11.76,16.0
Grand Est,260074.0,13.33,8.6,18.06
Pays de la Loire,141399.0,16.75,9.85,23.65
Bretagne,119884.0,13.04,7.48,18.6
Nouvelle-Aquitaine,215585.0,18.44,11.33,25.55
Occitanie,178868.0,17.61,9.82,25.41
Auvergne-Rhône-Alpes,351013.0,16.31,7.14,25.49
Provence-Alpes-Côte d'Azur,202149.0,15.58,8.5,22.65
Île-de-France,376365.0,10.86,7.68,14.04
Centre-Val de Loire,101074.0,7.55,3.38,11.72
Bourgogne-Franche-Comté,122216.0,8.03,3.9,12.17
Normandie,154386.0,10.61,7.22,14.0
Hauts-de-France,284270.0,10.19,7.26,13.12
Grand Est,261565.0,8.78,5.1,12.45
Pays de la Loire,148991.0,9.0,4.3,13.7
Bretagne,124932.0,10.54,6.8,14.27
Nouvelle-Aquitaine,229582.0,10.64,7.41,13.88
Occitanie,188249.0,12.25,8.79,15.7
Auvergne-Rhône-Alpes,357339.0,12.06,6.75,17.38
Provence-Alpes-Côte d'Azur,192321.0,16.27,11.47,21.07
Île-de-France,330498.0,15.2,10.32,20.08
Centre-Val de Loire,85336.0,14.45,7.42,21.48
Bourgogne-Franche-Comté,98420.0,13.75,6.57,20.93
Normandie,125894.0,15.95,11.68,20.22
Hauts-de-France,245487.0,16.16,12.62,19.7
Grand Est,218391.0,13.41,7.66,19.15
Pays de la Loire,118934.0,16.12,10.75,21.5
Bretagne,106194.0,16.21,13.18,19.25
Nouvelle-Aquitaine,199655.0,16.37,9.84,22.91
Occitanie,167706.0,15.55,7.95,23.14
Auvergne-Rhône-Alpes,292722.0,14.29,5.91,22.67
Provence-Alpes-Côte d'Azur,185898.0,16.58,10.28,22.88
Île-de-France,378856.0,10.46,6.84,14.08
Centre-Val de Loire,103807.0,10.64,6.67,14.62
Bourgogne-Franche-Comté,118837.0,10.56,7.8,13.32
Normandie,156372.0,9.75,6.2,13.3
Hauts-de-France,275727.0,10.24,7.5,12.98
Grand Est,249355.0,10.01,7.8,12.22
Pays de la Loire,156807.0,10.25,5.55,14.95
Bretagne,132829.0,10.95,7.38,14.52
Nouvelle-Aquitaine,246117.0,11.06,8.3,13.82
Occitanie,204484.0,11.45,8.88,14.02
Auvergne-Rhône-Alpes,357344.0,9.29,6.38,12.2
Provence-Alpes-Côte d'Azur,209799.0,12.94,10.9,14.98
Île-de-France,388492.0,11.54,7.68,15.4
Centre-Val de Loire,101701.0,12.57,9.55,15.58
Bourgogne-Franche-Comté,118031.0,12.65,8.67,16.63
Normandie,147764.0,11.8,7.42,16.18
Hauts-de-France,283238.0,11.13,7.82,14.44
Grand Est,260866.0,11.66,8.06,15.25
Pays de la Loire,145850.0,12.68,8.05,17.3
Bretagne,124963.0,13.5,9.18,17.82
Nouvelle-Aquitaine,234562.0,13.76,9.76,17.76
Occitanie,192463.0,13.79,8.16,19.42
Auvergne-Rhône-Alpes,362935.0,11.59,6.43,16.75
Provence-Alpes-Côte d'Azur,202194.0,13.64,7.35,19.93
Île-de-France,423165.0,8.82,7.68,9.96
Centre-Val de Loire,108878.0,7.69,4.3,11.08
Bourgogne-Franche-Comté,121081.0,8.52,4.97,12.08
Normandie,171660.0,7.91,6.94,8.88
Hauts-de-France,304359.0,6.42,5.24,7.6
Grand Est,262992.0,7.76,5.64,9.87
Pays de la Loire,155407.0,8.73,7.05,10.4
Bretagne,131055.0,9.09,7.22,10.95
Nouvelle-Aquitaine,264146.0,6.84,2.39,11.3
Occitanie,222776.0,8.1,3.11,13.1
Auvergne-Rhône-Alpes,363263.0,9.14,4.65,13.63
Provence-Alpes-Côte d'Azur,226787.0,11.09,6.65,15.53
Île-de-France,447752.0,4.85,1.64,8.06
Centre-Val de Loire,120914.0,3.21,-1.28,7.7
Bourgogne-Franche-Comté,129322.0,2.1,-0.65,4.85
Normandie,173818.0,4.86,1.72,8.0
Hauts-de-France,307374.0,5.12,1.96,8.28
Grand Est,264033.0,2.69,0.24,5.15
Pays de la Loire,164155.0,4.02,-1.0,9.05
Bretagne,139740.0,4.89,0.85,8.93
Nouvelle-Aquitaine,270610.0,4.99,-0.46,10.44
Occitanie,236665.0,5.18,0.75,9.6
Auvergne-Rhône-Alpes,396728.0,2.69,-0.63,6.0
Provence-Alpes-Côte d'Azur,244072.0,7.45,4.62,10.28
Île-de-France,509012.0,5.24,4.56,5.92
Centre-Val de Loire,128874.0,5.62,4.78,6.45
Bourgogne-Franche-Comté,143116.0,5.45,4.15,6.75
Normandie,193786.0,5.74,4.16,7.32
Hauts-de-France,340054.0,4.75,3.32,6.18
Grand Est,294517.0,5.18,3.85,6.51
Pays de la Loire,189522.0,7.7,5.7,9.7
Bretagne,158973.0,7.29,3.52,11.05
Nouvelle-Aquitaine,295897.0,7.61,5.25,9.97
Occitanie,267509.0,6.92,4.28,9.55
Auvergne-Rhône-Alpes,444709.0,4.57,2.47,6.67
Provence-Alpes-Côte d'Azur,260495.0,6.93,2.83,11.02
Île-de-France,443823.0,11.39,10.14,12.64
Centre-Val de Loire,114584.0,11.76,9.67,13.85
Bourgogne-Franche-Comté,129998.0,9.67,6.18,13.17
Normandie,172863.0,11.21,9.26,13.16
Hauts-de-France,306251.0,11.04,9.48,12.6
Grand Est,287815.0,9.39,6.41,12.36
Pays de la Loire,175578.0,12.5,10.15,14.85
Bretagne,145670.0,12.25,10.0,14.5
Nouvelle-Aquitaine,271940.0,12.55,8.85,16.25
Occitanie,235930.0,11.23,5.99,16.47
Auvergne-Rhône-Alpes,400781.0,9.29,4.52,14.06
Provence-Alpes-Côte d'Azur,250024.0,10.63,5.62,15.63
Île-de-France,443224.0,6.88,2.04,11.72
Centre-Val de Loire,124885.0,7.43,1.7,13.17
Bourgogne-Franche-Comté,139529.0,6.81,0.45,13.17
Normandie,175935.0,7.41,2.56,12.26
Hauts-de-France,308587.0,7.23,4.18,10.28
Grand Est,298757.0,5.11,-0.1,10.31
Pays de la Loire,176020.0,9.3,3.8,14.8
Bretagne,143825.0,8.94,5.0,12.88
Nouvelle-Aquitaine,266037.0,10.83,5.03,16.63
Occitanie,227354.0,11.75,7.39,16.1
Auvergne-Rhône-Alpes,413930.0,8.86,3.78,13.94
Provence-Alpes-Côte d'Azur,245724.0,11.32,6.72,15.92
Île-de-France,505156.0,4.48,2.46,6.5
Centre-Val de Loire,139093.0,4.59,2.02,7.17
Bourgogne-Franche-Comté,156057.0,2.33,-0.05,4.72
Normandie,192775.0,4.99,1.94,8.04
Hauts-de-France,341005.0,4.67,2.32,7.02
Grand Est,317471.0,2.02,-0.63,4.68
Pays de la Loire,203282.0,5.28,1.4,9.15
Bretagne,171676.0,6.45,1.65,11.25
Nouvelle-Aquitaine,312948.0,6.13,3.14,9.12
Occitanie,270844.0,5.76,3.54,7.99
Auvergne-Rhône-Alpes,464920.0,2.48,0.62,4.34
Provence-Alpes-Côte d'Azur,259680.0,7.41,4.37,10.45
Île-de-France,429246.0,9.28,7.28,11.28
Centre-Val de Loire,110171.0,9.52,6.9,12.13
Bourgogne-Franche-Comté,126864.0,7.58,5.3,9.85
Normandie,162004.0,8.44,5.96,10.92
Hauts-de-France,276653.0,7.58,4.6,10.56
Grand Est,243711.0,7.26,3.98,10.54
Pays de la Loire,153441.0,10.48,8.2,12.75
Bretagne,131321.0,9.0,6.12,11.88
Nouvelle-Aquitaine,252254.0,10.28,8.32,12.24
Occitanie,233408.0,7.96,4.7,11.22
Auvergne-Rhône-Alpes,406629.0,5.55,2.26,8.83
Provence-Alpes-Côte d'Azur,259885.0,9.07,4.57,13.57
Île-de-France,443140.0,5.78,3.82,7.74
Centre-Val de Loire,123989.0,5.8,2.55,9.05
Bourgogne-Franche-Comté,132895.0,5.22,0.58,9.87
Normandie,179013.0,5.89,3.96,7.82
Hauts-de-France,326214.0,6.06,4.46,7.66
Grand Est,254940.0,4.89,1.3,8.48
Pays de la Loire,177147.0,7.05,4.1,10.0
Bretagne,153456.0,6.98,4.3,9.65
Nouvelle-Aquitaine,287327.0,7.56,4.59,10.52
Occitanie,261872.0,6.65,2.4,10.89
Auvergne-Rhône-Alpes,416250.0,6.13,3.03,9.24
Provence-Alpes-Côte d'Azur,272785.0,8.22,6.03,10.42
Île-de-France,507316.0,0.15,-2.0,2.3
Centre-Val de Loire,141389.0,0.03,-2.1,2.15
Bourgogne-Franche-Comté,138484.0,-0.72,-2.5,1.05
Normandie,191833.0,2.59,-1.08,6.26
Hauts-de-France,322210.0,0.68,-2.2,3.56
Grand Est,275759.0,-2.29,-4.46,-0.12
Pays de la Loire,182420.0,2.68,0.8,4.55
Bretagne,151700.0,5.19,1.35,9.02
Nouvelle-Aquitaine,279352.0,5.79,1.38,10.2
Occitanie,248587.0,6.27,0.1,12.44
Auvergne-Rhône-Alpes,427747.0,1.89,-2.45,6.23
Provence-Alpes-Côte d'Azur,262441.0,6.55,1.08,12.02
Île-de-France,432586.0,7.05,3.06,11.04
Centre-Val de Loire,115258.0,7.23,2.55,11.92
Bourgogne-Franche-Comté,123110.0,4.18,-0.67,9.03
Normandie,170621.0,7.12,2.88,11.36
Hauts-de-France,286002.0,5.97,1.72,10.22
Grand Est,237691.0,3.96,-0.76,8.68
Pays de la Loire,163282.0,9.43,5.25,13.6
Bretagne,141928.0,10.07,7.25,12.9
Nouvelle-Aquitaine,252855.0,9.98,6.18,13.78
Occitanie,218058.0,8.55,3.64,13.45
Auvergne-Rhône-Alpes,394249.0,4.36,-0.47,9.19
Provence-Alpes-Côte d'Azur,248269.0,8.27,3.1,13.43
Île-de-France,430180.0,2.84,-0.06,5.74
Centre-Val de Loire,129983.0,1.58,-2.07,5.22
Bourgogne-Franche-Comté,130923.0,1.67,-0.5,3.83
Normandie,181196.0,4.36,0.3,8.42
Hauts-de-France,283307.0,3.68,0.38,6.98
Grand Est,248669.0,1.84,-0.45,4.12
Pays de la Loire,177149.0,4.3,-0.4,9.0
Bretagne,151729.0,6.26,2.33,10.2
Nouvelle-Aquitaine,307600.0,2.4,-1.84,6.64
Occitanie,272396.0,3.36,0.68,6.05
Auvergne-Rhône-Alpes,400772.0,1.16,-0.45,2.78
Provence-Alpes-Côte d'Azur,273228.0,5.37,1.98,8.75
Île-de-France,479322.0,10.83,9.34,12.32
Centre-Val de Loire,126350.0,9.93,7.65,12.22
Bourgogne-Franche-Comté,149501.0,6.74,2.55,10.93
Normandie,182596.0,10.65,9.56,11.74
Hauts-de-France,330148.0,10.59,9.5,11.68
Grand Est,306687.0,8.43,5.29,11.57
Pays de la Loire,179896.0,12.22,10.35,14.1
Bretagne,151541.0,11.39,10.52,12.25
Nouvelle-Aquitaine,286245.0,10.02,6.41,13.62
Occitanie,250130.0,10.15,6.74,13.56
Auvergne-Rhône-Alpes,444990.0,8.88,2.65,15.12
Provence-Alpes-Côte d'Azur,273165.0,10.43,6.78,14.08
Île-de-France,596836.0,3.71,-1.52,8.94
Centre-Val de Loire,156583.0,4.85,-0.3,10.0
Bourgogne-Franche-Comté,179171.0,1.13,-4.77,7.03
Normandie,230407.0,3.27,-2.12,8.66
Hauts-de-France,393110.0,1.82,-3.1,6.74
Grand Est,372777.0,-1.69,-8.0,4.61
Pays de la Loire,227631.0,5.72,0.5,10.95
Bretagne,195600.0,4.68,0.77,8.57
Nouvelle-Aquitaine,350937.0,7.48,2.33,12.63
Occitanie,297191.0,8.31,3.52,13.1
Auvergne-Rhône-Alpes,534012.0,3.6,-0.67,7.86
Provence-Alpes-Côte d'Azur,295577.0,9.99,7.47,12.52
Île-de-France,451408.0,3.99,2.18,5.8
Centre-Val de Loire,129204.0,2.07,-0.15,4.28
Bourgogne-Franche-Comté,130343.0,4.9,2.78,7.02
Normandie,184309.0,4.39,0.04,8.74
Hauts-de-France,342134.0,5.31,1.82,8.8
Grand Est,272991.0,4.31,2.5,6.13
Pays de la Loire,177090.0,4.18,-0.55,8.9
Bretagne,148938.0,6.52,2.12,10.92
Nouvelle-Aquitaine,293037.0,4.97,1.67,8.28
Occitanie,264975.0,6.1,3.6,8.61
Auvergne-Rhône-Alpes,419776.0,4.91,2.33,7.5
Provence-Alpes-Côte d'Azur,250244.0,9.94,6.87,13.02
Île-de-France,464030.0,5.73,3.86,7.6
Centre-Val de Loire,126040.0,5.8,3.7,7.9
Bourgogne-Franche-Comté,142044.0,5.84,3.33,8.35
Normandie,179602.0,5.75,4.4,7.1
Hauts-de-France,312516.0,5.19,3.36,7.02
Grand Est,277511.0,4.99,2.39,7.6
Pays de la Loire,168234.0,7.3,5.9,8.7
Bretagne,143360.0,6.56,4.95,8.18
Nouvelle-Aquitaine,273408.0,7.29,5.22,9.35
Occitanie,267539.0,6.77,3.43,10.12
Auvergne-Rhône-Alpes,448133.0,4.6,0.55,8.66
Provence-Alpes-Côte d'Azur,290301.0,6.11,0.78,11.43
Île-de-France,504597.0,7.95,6.98,8.92
Centre-Val de Loire,136055.0,8.33,7.48,9.18
Bourgogne-Franche-Comté,148745.0,6.32,3.9,8.75
