Date,Région,Consommation (MW),TMoy (°C)
01/07/2016,Bretagne,102287.0,16.9
01/07/2016,Nouvelle-Aquitaine,204093.0,19.18
01/07/2016,Occitanie,182352.0,22.27
01/07/2016,Auvergne-Rhône-Alpes,328631.0,22.07
01/07/2016,Provence-Alpes-Côte d'Azur,210653.0,23.96
01/07/2017,Île-de-France,286603.0,17.3
01/07/2017,Centre-Val de Loire,74873.0,15.77
01/07/2017,Bourgogne-Franche-Comté,90999.0,14.79
01/07/2017,Normandie,119052.0,16.04
01/07/2017,Hauts-de-France,224272.0,17.66
01/07/2017,Grand Est,201603.0,15.25
01/07/2017,Pays de la Loire,104926.0,16.65
01/07/2017,Bretagne,85364.0,16.36
01/07/2017,Nouvelle-Aquitaine,180209.0,15.54
01/07/2017,Occitanie,155288.0,16.79
01/07/2017,Auvergne-Rhône-Alpes,284461.0,15.22
01/07/2017,Provence-Alpes-Côte d'Azur,190382.0,18.77
01/07/2018,Île-de-France,295406.0,26.03
01/07/2018,Centre-Val de Loire,77811.0,25.7
01/07/2018,Bourgogne-Franche-Comté,85545.0,25.42
01/07/2018,Normandie,110647.0,22.98
01/07/2018,Hauts-de-France,207580.0,24.83
01/07/2018,Grand Est,187019.0,23.22
01/07/2018,Pays de la Loire,102599.0,26.67
01/07/2018,Bretagne,78875.0,23.04
01/07/2018,Nouvelle-Aquitaine,182794.0,25.46
01/07/2018,Occitanie,163267.0,24.34
01/07/2018,Auvergne-Rhône-Alpes,283096.0,24.93
01/07/2018,Provence-Alpes-Côte d'Azur,181880.0,24.54
01/07/2019,Île-de-France,326259.0,20.13
01/07/2019,Centre-Val de Loire,87055.0,21.7
01/07/2019,Bourgogne-Franche-Comté,106614.0,24.77
01/07/2019,Normandie,124545.0,16.48
01/07/2019,Hauts-de-France,236324.0,17.63
01/07/2019,Grand Est,226101.0,22.72
01/07/2019,Pays de la Loire,126336.0,20.67
01/07/2019,Bretagne,99740.0,16.38
01/07/2019,Nouvelle-Aquitaine,206911.0,21.84
01/07/2019,Occitanie,198007.0,23.83
01/07/2019,Auvergne-Rhône-Alpes,336272.0,25.88
01/07/2019,Provence-Alpes-Côte d'Azur,229738.0,26.92
01/07/2020,Île-de-France,305212.0,20.61
01/07/2020,Centre-Val de Loire,88857.0,19.81
01/07/2020,Bourgogne-Franche-Comté,95615.0,21.1
01/07/2020,Normandie,123618.0,18.76
01/07/2020,Hauts-de-France,235881.0,18.02
01/07/2020,Grand Est,219094.0,20.53
01/07/2020,Pays de la Loire,128754.0,20.3
01/07/2020,Bretagne,104629.0,17.38
01/07/2020,Nouvelle-Aquitaine,201623.0,19.79
01/07/2020,Occitanie,182144.0,22.82
01/07/2020,Auvergne-Rhône-Alpes,318460.0,22.6
01/07/2020,Provence-Alpes-Côte d'Azur,198588.0,24.03
01/07/2021,Île-de-France,304715.0,17.97
01/07/2021,Centre-Val de Loire,80665.0,17.9
01/07/2021,Bourgogne-Franche-Comté,99633.0,18.45
01/07/2021,Normandie,127288.0,16.65
01/07/2021,Hauts-de-France,242547.0,16.52
01/07/2021,Grand Est,223369.0,16.86
01/07/2021,Pays de la Loire,126555.0,19.75
01/07/2021,Bretagne,107493.0,17.42
01/07/2021,Nouvelle-Aquitaine,201856.0,19.38
01/07/2021,Occitanie,174540.0,20.67
01/07/2021,Auvergne-Rhône-Alpes,314552.0,18.43
01/07/2021,Provence-Alpes-Côte d'Azur,205692.0,22.14
01/08/2016,Île-de-France,291308.0,18.72
01/08/2016,Centre-Val de Loire,77259.0,18.42
01/08/2016,Bourgogne-Franche-Comté,89642.0,19.2
01/08/2016,Normandie,119909.0,15.28
01/08/2016,Hauts-de-France,212079.0,15.85
01/08/2016,Grand Est,189423.0,17.81
01/08/2016,Pays de la Loire,114382.0,17.7
01/08/2016,Bretagne,93138.0,15.5
01/08/2016,Nouvelle-Aquitaine,200551.0,19.96
01/08/2016,Occitanie,176561.0,21.6
01/08/2016,Auvergne-Rhône-Alpes,286326.0,19.81
01/08/2016,Provence-Alpes-Côte d'Azur,202240.0,23.85
01/08/2017,Île-de-France,293360.0,21.0
01/08/2017,Centre-Val de Loire,83293.0,21.38
01/08/2017,Bourgogne-Franche-Comté,92734.0,22.58
01/08/2017,Normandie,121610.0,17.79
01/08/2017,Hauts-de-France,219750.0,18.03
01/08/2017,Grand Est,202915.0,21.17
01/08/2017,Pays de la Loire,120730.0,20.27
01/08/2017,Bretagne,97767.0,16.39
01/08/2017,Nouvelle-Aquitaine,208560.0,21.92
01/08/2017,Occitanie,187682.0,24.1
01/08/2017,Auvergne-Rhône-Alpes,315541.0,24.6
01/08/2017,Provence-Alpes-Côte d'Azur,219246.0,28.51
01/08/2018,Île-de-France,312626.0,23.79
01/08/2018,Centre-Val de Loire,89943.0,23.66
